trigger_name,table_name,definition
RI_ConstraintTrigger_c_17438,commande_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17438"" AFTER UPDATE ON public.commande_items FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17440,produits,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17440"" AFTER DELETE ON public.produits FROM commande_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17441,produits,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17441"" AFTER UPDATE ON public.produits FROM commande_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17442,commande_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17442"" AFTER INSERT ON public.commande_items FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17443,commande_items,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17443"" AFTER UPDATE ON public.commande_items FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17460,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17460"" AFTER DELETE ON public.profiles FROM ravitaillements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17461,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17461"" AFTER UPDATE ON public.profiles FROM ravitaillements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17462,ravitaillements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17462"" AFTER INSERT ON public.ravitaillements FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17463,ravitaillements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17463"" AFTER UPDATE ON public.ravitaillements FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17478,ravitaillements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17478"" AFTER DELETE ON public.ravitaillements FROM ravitaillement_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_17479,ravitaillements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17479"" AFTER UPDATE ON public.ravitaillements FROM ravitaillement_items NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17506,mouvements_stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17506"" AFTER UPDATE ON public.mouvements_stock FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17508,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17508"" AFTER DELETE ON public.profiles FROM mouvements_stock NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17509,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17509"" AFTER UPDATE ON public.profiles FROM mouvements_stock NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17510,mouvements_stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17510"" AFTER INSERT ON public.mouvements_stock FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17511,mouvements_stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17511"" AFTER UPDATE ON public.mouvements_stock FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17533,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17533"" AFTER DELETE ON public.commandes FROM factures NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_17534,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17534"" AFTER UPDATE ON public.commandes FROM factures NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17535,factures,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17535"" AFTER INSERT ON public.factures FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17536,factures,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17536"" AFTER UPDATE ON public.factures FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17552,factures,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17552"" AFTER DELETE ON public.factures FROM encaissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_17553,factures,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17553"" AFTER UPDATE ON public.factures FROM encaissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17554,encaissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17554"" AFTER INSERT ON public.encaissements FROM factures NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_17555,encaissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17555"" AFTER UPDATE ON public.encaissements FROM factures NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_17557,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17557"" AFTER DELETE ON public.profiles FROM encaissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17558,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17558"" AFTER UPDATE ON public.profiles FROM encaissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
